C43674,BURMESE,Burmese,,A person having origins in any of the original peoples of Myanmar (formerly Burma).
C43672,SRI LANKAN,Sri Lankan,,A person having origins in any of the original peoples of Sri Lanka.
C77811,MEDITERRANEAN,Mediterranean,,A person having origins in any of the original peoples of the countries surrounding the Mediterranean sea.
C67117,DOMINICAN,Dominican,,A person having origins in any of the original peoples of the Dominican Republic.
C44270,YUPIK ESKIMO,Yupik Eskimo,,The native people inhabiting western, southwestern, and southcentral Alaska and the Russian Far East.
C43832,LIBERIAN,Liberian,,A person having origins in any of the original peoples of Liberia.
C41219,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,Native Hawaiian or Other Pacific Islander,,Denotes a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. The term covers particularly people who identify themselves as part-Hawaiian, Native Hawaiian, Guamanian or Chamorro, Carolinian, Samoan, Chuu. (FDA)
C43409,MELANESIAN,Melanesian,,A person having origins in any of the original peoples of Melanesia.
C43395,KOREAN,Korean,,A person having origins in any of the original peoples of North and South Korea.
C44269,SIBERIAN ESKIMO,Siberian Eskimo,,The native Yupik people inhabiting the coast of the Chukchi Peninsula in the far northeast of the Russian Federation and on St. Lawrence Island in Alaska.
C43392,JAPANESE,Japanese,,A person having origins in any of the original peoples of Japan.
C41260,ASIAN,Asian,,A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (FDA)
C42331,AFRICAN,African,,A person having origins in any of the original peoples of sub-Saharan Africa.
C16352,BLACK OR AFRICAN AMERICAN,Black or African American,,A person having origins in any of the black racial groups of Africa. Terms such as 'Haitian' or 'Negro' can be used in addition to 'Black or African American.' (FDA)
C77817,WESTERN EUROPEAN,Western European,,A person having origins in any of the original peoples of Western Europe.
C43834,NIGERIAN,Nigerian,,A person having origins in any of the original peoples of Nigeria.
C128689,RACEC,CDISC SDTM Collected Race Terminology,Race As Collected,A terminology codelist relevant to the race of an individual as collected on the case report form.
